date,price,daily_return
2017-02-01,15.82239,0.0095
2017-02-02,15.74553,-0.00486
2017-02-03,15.79357,0.00305
2017-02-06,15.70711,-0.00547
2017-02-07,15.71671,0.00061
2017-02-08,15.71671,0.0
2017-02-09,15.67829,-0.00244
2017-02-10,15.78396,0.00674
2017-02-13,15.94728,0.01035
2017-02-14,15.96649,0.0012
2017-02-15,15.95689,-0.0006
2017-02-16,15.94728,-0.0006
2017-02-17,16.04335,0.00602
2017-02-21,16.08658,0.00269
2017-02-22,16.04335,-0.00269
2017-02-23,16.10579,0.00389
2017-02-24,15.94728,-0.00984
2017-02-27,15.96649,0.0012
2017-02-28,15.93767,-0.00181
2017-03-01,16.19609,0.01621
2017-03-02,16.07216,-0.00765
2017-03-03,16.05776,-0.0009
2017-03-06,15.98571,-0.00449
2017-03-07,15.92614,-0.00373
2017-03-08,15.93767,0.00072
2017-03-09,15.92326,-0.0009
2017-03-10,16.07216,0.00935
2017-03-13,16.32195,0.01554
2017-03-14,16.24509,-0.00471
2017-03-15,16.38919,0.00887
2017-03-16,16.44683,0.00352
2017-03-17,16.59093,0.00876
2017-03-20,16.61111,0.00122
2017-03-21,16.45644,-0.00931
2017-03-22,16.45644,0.0
2017-03-23,16.55251,0.00584
2017-03-24,16.61687,0.00389
2017-03-27,16.63897,0.00133
2017-03-28,16.74464,0.00635
2017-03-29,16.74944,0.00029
2017-03-30,16.69661,-0.00315
2017-03-31,16.68027,-0.00098
2017-04-03,16.64185,-0.0023
2017-04-04,16.55155,-0.00543
2017-04-05,16.55251,6e-05
2017-04-06,16.43722,-0.00696
2017-04-07,16.52369,0.00526
2017-04-10,16.44683,-0.00465
2017-04-11,16.4084,-0.00234
2017-04-12,16.33155,-0.00468
2017-04-13,16.25469,-0.00471
2017-04-17,16.36037,0.0065
2017-04-18,16.28351,-0.0047
2017-04-19,16.52369,0.01475
2017-04-20,16.59093,0.00407
2017-04-21,16.55251,-0.00232
2017-04-24,16.86953,0.01915
2017-04-25,16.85416,-0.00091
